B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
2809,1787,640,988,1310,1698,2196,2752,0.09679137170314789,0.10389183461666107,1.5719082260772244,2.046875,-0.4795891344547272,0.0006569309016950026,0.22236727589208008,0.35499754548072815,1.831020474433899,0.00277278929167372,-0.4716577540106952,2025-12-13 05:35:32,0.005756,13.106300548364375,76.73849862765184
625,378,600,805,546,900,1102,1296,-0.23638734221458435,-0.16824345290660858,1.6534391534391535,0.91,0.1258741319179535,0.07485260194202227,0.24626121635094717,0.40716612339019775,2.1972246170043945,0.02997125921587338,-0.23369823893384103,2025-12-11 05:30:54,7e-06,28.942959827171883,79.57040559249316
1614,718,79,242,144,554,1853,2740,-0.23181122541427612,-0.23432546854019165,2.247910863509749,1.8227848101265822,-0.7392241358757019,0.0011792884977745999,0.38421955403087477,0.9001386761665344,0.6837388873100281,0.00015877989788393165,-0.8376928236083165,2025-12-25 04:32:29,4.473114,22.814713687748295,92.90372731042623
2592,1894,348,579,788,1162,1453,1574,0.2749905586242676,0.23475125432014465,1.368532206969377,2.264367816091954,-0.634815514087677,0.002307373320839289,0.15559518502006242,0.33276882767677307,2.043191909790039,0.0036303012204488283,-0.4621458430097538,2025-12-21 04:40:54,3.460237,27.64186661669558,91.78024132582327
1396,615,198,297,169,668,1949,2272,-0.2242874801158905,-0.27861249446868896,2.269918699186992,0.8535353535353535,-0.6491435170173645,0.001526922587683573,0.38836399801093985,0.8615321516990662,1.214889645576477,0.0002087392998788573,-0.7687816270922538,2025-12-16 05:35:04,2.000561,13.639756698640667,75.14686381637397
2721,2027,742,951,1176,1545,1937,2246,0.13202615082263947,0.10954190045595169,1.3423778983719783,1.5849056603773586,-0.4820261299610138,0.000769103106176678,0.14616680707666385,0.3126826286315918,1.6769877672195435,0.0004089907801927047,-0.4050672505473882,2025-12-20 05:24:01,0.073722,18.333140002108458,79.56234993678731
2628,1688,450,694,740,1381,2332,2796,0.01844572089612484,0.0044018919579684734,1.5568720379146919,1.6444444444444444,-0.5821794271469116,0.00033351732856750575,0.21779425393883226,0.581447958946228,1.6769877672195435,0.0005568373923234837,-0.6022922636103152,2025-12-23 05:25:18,4.321234,12.782803536022298,77.6749539256361
2813,1933,562,525,751,1461,2267,1897,0.18346339464187622,0.09437867254018784,1.455250905328505,1.3362989323843417,-0.6854403614997864,0.002501283030026021,0.18541930046354826,0.432779461145401,1.6769877672195435,0.003741986555935359,-0.5664739884393064,2025-12-21 04:51:18,0.249203,27.671418026922957,88.3906067897742
176,91,578,556,408,423,330,288,-0.19448275864124298,-0.18703041970729828,1.934065934065934,0.7058823529411765,0.5191256999969482,0.00017744320650810627,0.31835205992509363,-0.17241379618644714,1.4648163318634033,0.0003254233955461859,0.3175355450236967,2025-12-15 05:15:09,6.541079,14.299676509500348,79.6046872994342
185,122,431,764,524,683,347,142,0.10608424246311188,0.10659545660018921,1.5163934426229508,1.2157772621809744,0.6101158857345581,0.0001656570010306366,0.20521172638436483,-0.5735735893249512,1.5810937881469727,0.0013231389210438414,0.6865342163355408,2025-12-15 05:11:47,0.0242,25.476667375576806,83.14383060804985
1682,1332,460,634,816,908,1180,1638,0.08703219890594482,0.1474194973707199,1.2627627627627627,1.7739130434782608,-0.45250430703163147,0.0020971920885682277,0.11612475116124751,0.334963321685791,2.043191909790039,0.0025210385718419997,-0.44190140845070425,2025-12-19 05:43:39,5.253693,19.70051515708858,73.92560565612438
3137,2133,460,698,1146,1481,1823,2212,0.23163191974163055,0.2233942747116089,1.4706985466479137,2.491304347826087,-0.6359843611717224,0.0001299808040866108,0.1905123339658444,0.3174508512020111,1.5810937881469727,0.0004610774378963746,-0.5202749140893471,2025-12-23 05:22:31,1.006848,22.647032664952285,79.80682168915307
2576,1993,1012,1362,1826,1764,1968,2382,0.12929707765579224,0.17720772325992584,1.2925238334169593,1.8043478260869565,-0.30827832221984863,0.011520191431418346,0.12759903698840008,0.13212928175926208,1.8891592025756836,0.0008878582674170089,-0.2724358974358974,2025-12-24 05:42:18,0.000149,25.180899506100786,75.0609789154123
5710,5394,9208,9368,9568,9880,9864,9968,-0.11313635855913162,-0.1046314463019371,1.0585836114200964,1.0390964378801042,0.24260511994361877,0.00014608878406329677,0.02845821325648415,0.02047502063214779,0.9368883371353149,2.4658562734976124e-05,-0.03103020273065784,2025-12-17 05:49:32,18.324146,34.464373536405056,75.31021783386547
