B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,id,dist_to_infra_km
1698.0,967.0,864.0,858.0,764.0,1157.0,1888.0,2230.0,-0.1137508973479271,-0.1133851036429405,1.7559462254395035,0.8842592592592593,-0.32863849401474,0.0002464819903632,0.274296435272045,0.4896459579467773,1.522955060005188,0.000323855402349,-0.444300518134715,2026-01-06 05:01:46,0.161675,24.86087548800776,86.62005127122487,6614,1.1836312606731356
1886.0,1051.0,636.0,800.0,736.0,1298.0,1964.0,2344.0,-0.0639057457447052,-0.0598460398614406,1.7944814462416745,1.1572327044025157,-0.4043186902999878,0.0001340332245134,0.2843037112700034,0.5220779180526733,1.735126495361328,0.0002469272861913,-0.4910941475826972,2026-01-06 05:01:46,0.161675,24.86087548800776,86.62903442406606,6615,1.0615097602399117
237.0,156.0,958.0,1154.0,784.0,698.0,476.0,422.0,-0.1495210379362106,-0.1523429006338119,1.5192307692307692,0.8183716075156576,0.6592379808425903,9.321842867067905e-05,0.2061068702290076,-0.3001658320426941,1.0608569383621216,7.025232973489892e-05,0.4644670050761421,2026-01-06 05:01:46,0.161675,24.86087548800776,86.63801757690726,6616,1.0755443469081774
1691.0,1390.0,1052.0,1218.0,1350.0,1440.0,1432.0,1684.0,0.0527955703437328,0.1188496127724647,1.216546762589928,1.2832699619771863,-0.1625988334417343,0.0085841809705954,0.0976955533917559,0.1100856959819793,2.1972246170043945,0.0029371831314258,-0.160578911095796,2026-01-06 05:01:46,0.161675,24.86087548800776,86.64700072974846,6617,0.45084762851429405
3819.0,2997.0,1126.0,1318.0,1626.0,2016.0,2378.0,2824.0,0.159127190709114,0.1677411943674087,1.2742742742742743,1.44404973357016,-0.4868600368499756,0.000312009995445,0.1205985915492957,0.2692134976387024,1.4270610809326172,0.0001784452262972,-0.3635924674070497,2026-01-06 05:01:46,0.161675,24.86087548800776,86.65598388258965,6618,0.410356658330449
2909.0,2250.0,1152.0,1394.0,1522.0,1758.0,2097.0,2712.0,0.0683544278144836,0.0846039429306984,1.292888888888889,1.3211805555555556,-0.3520799577236175,0.0008858579933476,0.1277379337080829,0.2810581028461456,1.6769877672195437,0.0007751716678107,-0.3209936678032148,2026-01-06 05:01:46,0.161675,24.86087548800776,86.66496703543083,6619,0.12392615956157782
2399.0,1832.0,846.0,1046.0,1212.0,1470.0,1936.0,2176.0,0.0887984335422515,0.0633784085512161,1.3094978165938864,1.4326241134751774,-0.3927431106567383,0.0002688297128022,0.1340108721342472,0.2845336496829986,1.5810937881469729,0.0018442949056578,-0.3507138423339541,2026-01-06 05:01:46,0.161675,24.86087548800776,86.67395018827203,6620,0.19245555850193316
3737.0,2773.0,1206.0,1412.0,1784.0,2296.0,2756.0,3260.0,0.105637326836586,0.1135880723595619,1.3476379372520737,1.4792703150912103,-0.4515439867973327,5.939260419950287e-05,0.1480798771121352,0.2926248908042907,1.735126495361328,0.0003663566065059,-0.3955479452054795,2026-01-06 05:01:46,0.161675,24.86087548800776,86.85361324509594,6621,0.9611035665780702
2585.0,1884.0,612.0,920.0,1252.0,1673.0,1908.0,2150.0,0.1629034727811813,0.148323968052864,1.3720806794055205,2.045751633986928,-0.4750356674194336,0.0006426842127419,0.1568583575744014,0.2639623880386352,1.214889645576477,0.0004843322519229,-0.4006514657980456,2026-01-06 05:12:12,4.195954,24.851892335166564,84.1137516285314,6622,0.4131140178380709
1337.0,1067.0,910.0,1230.0,1028.0,1151.0,1210.0,1080.0,0.086107924580574,0.0208652485162019,1.253045923149016,1.1296703296703297,-0.0416828989982605,0.0475745418141721,0.1123128119800332,0.0246679317206144,2.1972246170043945,0.0167092407802437,0.0649350649350649,2026-01-06 05:12:12,4.195954,24.851892335166564,84.1227347813726,6623,0.06011515184987554
